feature_id	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	A15M_R1	A15M_R2	A15M_R3	A45M_R1	A45M_R2	A45M_R3	A5M_R1	A5M_R2	A5M_R3	M_R1	M_R2	M_R3	PPL_R1
FT00014	150.128013504119	150.121831648424	150.128060840674	170.270992208352	169.904056198331	170.836311317173	31817584.4041062	32777389.434155	32531066.5203616	29933144.6643928	33939155.0051883	31735256.0183517	31965196.0690875	32898627.3093974	31007725.4580039	29911987.0580921	30293495.7018584	30000001.3986851	91821658.1109896
FT00015	150.128026086524	150.127922071748	150.128078639771	146.369731638099	145.598403799765	146.565504541902	9422137.40887023	9594230.79116435	8707589.64731783	8603097.89883364	8440321.12982467	8678555.81337075	10052524.3021053	10085996.1195731	10694209.4960904	9164574.76406882	8273674.10786866	9566659.43294419	673226.286750499
FT00034	151.03545824118	151.028730961109	151.035541585962	37.1330191708826	36.2225668686079	38.8860144352469	122029234.025896	115181969.095216	138138683.207276	126189401.144792	132637460.596994	138907258.925745	139123683.799481	138480119.824462	148805610.086254	143754051.09679	143593316.963918	133828331.480766	72182884.5486349
FT00035	151.035452581285	151.035315387098	151.035591231328	836.238967823796	835.228982138834	836.698986156189	6446645.34510812	3484420.83217729	3661257.84843951	3255998.99793872	4733170.99745949	3685607.77094669	4910828.12866954	3805011.66195865	4290487.63163611	3043750.848405	15002543.8298126	3714345.52690242	3460711.8090525
FT00038	151.075572040382	151.075487115387	151.07561055584	310.127846309462	309.246196391833	310.406105010347	11009626.3816523	10635942.5319673	8499648.49188846	9453848.86155475	12864297.0916961	14111948.953322	9349507.04965418	11989864.6522385	9671018.89218506	8849168.23376955	12289579.5453747	9330883.26994646	668448.864941668
FT00042	151.096717046494	151.093131334927	151.096775313968	78.2624384709784	77.7954849354297	78.7332672726846	10595808.6828722	12391718.9649357	10411292.839314	21531138.4047933	20084113.1213673	21182900.9533231	13082149.5421785	11845137.9966837	13579950.0286991	13863056.4236943	12399598.2013168	13590155.0097576	14700479.8271042
FT00070	152.070763350189	152.070651588801	152.070917410817	836.238967823796	835.228982138834	836.698986156189	17425836.85214	2575805.25366284	3380639.9509009	2638859.80411669	2865696.60468591	3153781.5189863	11141916.1573613	3290846.40716513	2869572.3671228	2076141.55207882	43127562.6647652	3072514.48708652	2030798.68950937
FT00103	153.091288090885	153.091080076659	153.091346079864	182.013562532494	181.602607177504	182.487339148546	10780137.1835256	11027297.2198409	10552307.245821	10931651.3430883	10572080.7810486	10684085.5636669	13397071.5481562	13225070.3396529	12324619.107643	12743325.5104209	12435874.8033815	11127325.3582583	1362109.94546328
FT00104	153.0912305826	153.091141727233	153.09129820211	212.050437418914	211.721267751033	212.791145935276	16171273.6638323	13156125.5304641	16031907.9004013	12955235.0717607	14280410.3873068	14572997.4738925	18969216.1643838	17482230.5917469	18230692.0514026	16258911.4060061	15616991.5669116	17443563.0264581	1578739.71043853
FT00119	153.11356432334	153.11336544904	153.113773515164	741.295024339357	727.306204811605	756.303977777045	17920181.8441856	16554452.6530697	56677701.5746734	22683854.2244029	68184584.9477591	32827938.1580939	16158899.8346343	97746085.8106304	29775519.9316592	16815958.5804835	17101741.1868407	25403598.3276876	8235040.66026099
